CancerSite,DataType,StatisticType,Rate,ModeledRate,Year,RaceEthnicity,Sex,AgeRange,YearRange,
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,400.4188,395.9336,1975,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,407.4258,400.7844,1976,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,407.7569,405.6947,1977,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,407.2881,410.6652,1978,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,412.5098,415.6965,1979,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,418.1004,420.7895,1980,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,425.3106,425.9449,1981,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,424.5157,431.1634,1982,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,431.1315,436.4459,1983,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,440.0074,441.7931,1984,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,448.8763,447.2058,1985,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,451.3562,452.6849,1986,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,468.0319,458.231,1987,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,463.8833,463.8451,1988,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,467.8475,469.528,1989,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
